129.223.160.0,129.223.171.255,AU
129.223.172.0,129.223.172.255,US
129.223.173.0,129.223.253.255,AU
129.223.254.0,129.223.254.255,US
129.223.255.0,129.223.255.255,AU
129.224.0.0,129.225.255.255,US
129.226.0.0,129.226.255.255,SG
129.227.0.0,129.227.15.255,KR
129.227.16.0,129.227.31.255,IN
129.227.32.0,129.227.47.255,ID
129.227.48.0,129.227.63.255,TW
129.227.64.0,129.227.95.255,SG
129.227.96.0,129.227.97.255,PH
129.227.98.0,129.227.98.255,IN
129.227.99.0,129.227.99.255,BD
129.227.100.0,129.227.101.255,IN
129.227.102.0,129.227.111.255,PH
129.227.112.0,129.227.115.255,JP
129.227.116.0,129.227.119.255,PH
129.227.120.0,129.227.127.255,BR
129.227.128.0,129.227.175.255,HK
129.227.176.0,129.227.177.255,PH
129.227.178.0,129.227.179.255,IN
129.227.180.0,129.227.183.255,JP
129.227.184.0,129.227.185.255,VN
129.227.186.0,129.227.191.255,HK
129.227.192.0,129.227.225.255,IN
129.227.226.0,129.227.229.255,PK
129.227.230.0,129.227.231.255,TH
129.227.232.0,129.227.239.255,JP
129.227.240.0,129.227.241.255,MY
129.227.242.0,129.227.243.255,IN
129.227.244.0,129.227.245.255,TH
129.227.246.0,129.227.247.255,KR
129.227.248.0,129.227.251.255,HK
129.227.252.0,129.227.255.255,IN
129.228.0.0,129.230.46.255,US
129.230.47.0,129.230.47.255,BE
129.230.48.0,129.230.193.255,US
129.230.194.0,129.230.196.255,GB
129.230.197.0,129.230.198.255,US
129.230.199.0,129.230.199.255,GB
129.230.200.0,129.230.200.255,NL
129.230.201.0,129.230.204.255,US
129.230.205.0,129.230.205.255,ZA
129.230.206.0,129.230.223.255,US
129.230.224.0,129.230.227.255,GB
129.230.228.0,129.230.229.255,US
129.230.230.0,129.230.230.255,GB
129.230.231.0,129.230.242.255,US
129.230.243.0,129.230.243.255,FR
129.230.244.0,129.230.247.255,US
129.230.248.0,129.230.255.255,GB
129.231.0.0,129.231.255.255,US
129.232.0.0,129.232.127.255,LS
129.232.128.0,129.232.255.255,ZA
129.233.0.0,129.233.255.255,DE
129.234.0.0,129.234.255.255,GB
129.235.0.0,129.239.255.255,US
129.240.0.0,129.242.255.255,NO
129.243.0.0,129.246.255.255,US
129.247.0.0,129.247.255.255,DE
129.248.0.0,129.248.255.255,US
129.249.0.0,129.249.255.255,JP
129.250.0.0,129.250.1.1,US
129.250.1.2,129.250.1.255,IE
129.250.2.0,129.250.2.255,US
129.250.3.0,129.250.3.255,HK
129.250.4.0,129.250.4.255,US
129.250.5.0,129.250.5.255,GB
129.250.6.0,129.250.7.3,US
129.250.7.4,129.250.7.255,JP
129.250.8.0,129.250.8.255,FR
129.250.9.0,129.250.10.27,US
129.250.10.28,129.250.10.253,GB
129.250.10.254,129.250.12.79,US
129.250.12.80,129.250.12.250,SG
129.250.12.251,129.250.13.255,US
129.250.14.0,129.250.14.255,NL
129.250.15.0,129.250.15.255,US
129.250.16.0,129.250.31.255,BE
129.250.32.0,129.250.36.19,US
129.250.36.20,129.250.36.83,GB
129.250.36.84,129.250.38.231,US
129.250.38.232,129.250.38.255,GB
129.250.39.0,129.250.45.39,US
129.250.45.40,129.250.45.255,FR
129.250.46.0,129.250.48.33,US
129.250.48.34,129.250.48.255,GB
129.250.49.0,129.250.51.255,US
129.250.52.0,129.250.52.255,MY
129.250.53.0,129.250.56.71,US
129.250.56.72,129.250.56.254,BR
129.250.56.255,129.250.60.7,US
129.250.60.8,129.250.60.63,ID
129.250.60.64,129.250.62.255,US
129.250.63.0,129.250.63.255,NL
129.250.64.0,129.250.65.255,US
129.250.66.0,129.250.67.255,HK
129.250.68.0,129.250.97.1,US
129.250.97.2,129.250.97.253,NL
129.250.97.254,129.250.111.255,US
129.250.112.0,129.250.112.255,NL
129.250.113.0,129.250.114.7,US
129.250.114.8,129.250.114.63,ID
129.250.114.64,129.250.121.1,US
129.250.121.2,129.250.121.243,JP
129.250.121.244,129.250.192.56,US
129.250.192.57,129.250.192.254,AU
129.250.192.255,129.250.199.47,US
129.250.199.48,129.250.199.255,DE
129.250.200.0,129.250.201.72,US
129.250.201.73,129.250.201.254,CA
129.250.201.255,129.250.204.183,US
129.250.204.184,129.250.204.255,JP
129.250.205.0,129.250.206.132,US
129.250.206.133,129.250.206.255,IT
129.250.207.0,129.250.208.242,US
129.250.208.243,129.250.208.250,JP
129.250.208.251,129.250.225.134,US
129.250.225.135,129.250.225.190,JP
129.250.225.191,129.253.179.255,US
129.253.180.0,129.253.181.255,SG
129.253.182.0,129.253.182.255,US
129.253.183.0,129.253.183.255,JP
129.253.184.0,129.253.239.255,US
129.253.240.0,129.253.241.255,NL
129.253.242.0,129.253.243.255,IL
129.253.244.0,129.253.247.255,NL
129.253.248.0,129.253.255.255,US
129.254.0.0,129.254.255.255,KR
129.255.0.0,129.255.255.255,US
