54.66.2.0,54.66.3.255,US
54.66.4.0,54.66.13.255,AU
54.66.14.0,54.66.15.255,US
54.66.16.0,54.66.17.255,AU
54.66.18.0,54.66.19.255,US
54.66.20.0,54.66.21.255,AU
54.66.22.0,54.66.25.255,US
54.66.26.0,54.66.31.255,AU
54.66.32.0,54.66.33.255,US
54.66.34.0,54.66.41.255,AU
54.66.42.0,54.66.43.255,US
54.66.44.0,54.66.45.255,AU
54.66.46.0,54.66.47.255,US
54.66.48.0,54.66.51.255,AU
54.66.52.0,54.66.53.255,US
54.66.54.0,54.66.65.255,AU
54.66.66.0,54.66.67.255,US
54.66.68.0,54.66.69.255,AU
54.66.70.0,54.66.71.255,US
54.66.72.0,54.66.89.255,AU
54.66.90.0,54.66.93.255,US
54.66.94.0,54.66.101.255,AU
54.66.102.0,54.66.105.255,US
54.66.106.0,54.66.123.255,AU
54.66.124.0,54.66.125.255,US
54.66.126.0,54.66.129.255,AU
54.66.130.0,54.66.131.255,US
54.66.132.0,54.66.135.255,AU
54.66.136.0,54.66.141.255,US
54.66.142.0,54.66.149.255,AU
54.66.150.0,54.66.151.255,US
54.66.152.0,54.66.175.255,AU
54.66.176.0,54.66.177.255,US
54.66.178.0,54.66.185.255,AU
54.66.186.0,54.66.187.255,US
54.66.188.0,54.66.191.255,AU
54.66.192.0,54.66.193.255,US
54.66.194.0,54.66.195.255,AU
54.66.196.0,54.66.197.255,US
54.66.198.0,54.66.199.255,AU
54.66.200.0,54.66.203.255,US
54.66.204.0,54.66.207.255,AU
54.66.208.0,54.66.209.255,US
54.66.210.0,54.66.215.255,AU
54.66.216.0,54.66.217.255,US
54.66.218.0,54.66.239.255,AU
54.66.240.0,54.66.241.255,US
54.66.242.0,54.66.251.255,AU
54.66.252.0,54.66.253.255,US
54.66.254.0,54.66.255.255,AU
54.67.0.0,54.71.255.255,US
54.72.0.0,54.72.12.255,IE
54.72.13.0,54.72.13.255,US
54.72.14.0,54.72.93.255,IE
54.72.94.0,54.72.94.255,GB
54.72.95.0,54.72.189.255,IE
54.72.190.0,54.72.190.255,GB
54.72.191.0,54.78.255.255,IE
54.79.0.0,54.79.60.255,AU
54.79.61.0,54.79.61.255,US
54.79.62.0,54.79.255.255,AU
54.80.0.0,54.82.65.255,US
54.82.66.0,54.82.67.255,FR
54.82.68.0,54.82.80.255,US
54.82.81.0,54.82.81.255,FR
54.82.82.0,54.82.204.255,US
54.82.205.0,54.82.205.255,FR
54.82.206.0,54.82.244.255,US
54.82.245.0,54.82.245.255,FR
54.82.246.0,54.83.61.255,US
54.83.62.0,54.83.62.255,FR
54.83.63.0,54.83.86.255,US
54.83.87.0,54.83.87.255,FR
54.83.88.0,54.83.97.255,US
54.83.98.0,54.83.99.255,FR
54.83.100.0,54.83.123.255,US
54.83.124.0,54.83.124.255,FR
54.83.125.0,54.83.216.255,US
54.83.217.0,54.83.217.255,FR
54.83.218.0,54.83.220.255,US
54.83.221.0,54.83.221.255,FR
54.83.222.0,54.83.252.255,US
54.83.253.0,54.83.254.255,FR
54.83.255.0,54.84.3.255,US
54.84.4.0,54.84.5.255,FR
54.84.6.0,54.84.10.255,US
54.84.11.0,54.84.11.255,FR
54.84.12.0,54.84.18.255,US
54.84.19.0,54.84.19.255,FR
54.84.20.0,54.84.23.255,US
54.84.24.0,54.84.24.255,FR
54.84.25.0,54.84.56.255,US
54.84.57.0,54.84.57.255,FR
54.84.58.0,54.84.109.255,US
54.84.110.0,54.84.110.255,FR
54.84.111.0,54.84.114.255,US
54.84.115.0,54.84.115.255,FR
54.84.116.0,54.85.197.255,US
54.85.198.0,54.85.198.255,FR
54.85.199.0,54.85.207.255,US
54.85.208.0,54.85.208.255,FR
54.85.209.0,54.85.236.255,US
54.85.237.0,54.85.237.255,FR
54.85.238.0,54.85.240.255,US
54.85.241.0,54.85.241.255,FR
54.85.242.0,54.85.245.255,US
54.85.246.0,54.85.246.255,FR
54.85.247.0,54.86.0.255,US
54.86.1.0,54.86.1.255,FR
54.86.2.0,54.86.56.255,US
54.86.57.0,54.86.57.255,FR
54.86.58.0,54.86.101.255,US
54.86.102.0,54.86.102.255,FR
54.86.103.0,54.86.111.255,US
54.86.112.0,54.86.112.255,FR
54.86.113.0,54.86.123.255,US
54.86.124.0,54.86.124.255,FR
54.86.125.0,54.86.249.255,US
54.86.250.0,54.86.250.255,FR
54.86.251.0,54.86.255.15,US
54.86.255.16,54.86.255.255,FR
54.87.0.0,54.87.138.255,US
54.87.139.0,54.87.139.255,FR
54.87.140.0,54.88.105.255,US
54.88.106.0,54.88.107.255,FR
54.88.108.0,54.88.167.255,US
54.88.168.0,54.88.169.255,FR
54.88.170.0,54.88.177.255,US
54.88.178.0,54.88.179.255,FR
54.88.180.0,54.88.189.255,US
54.88.190.0,54.88.191.255,FR
54.88.192.0,54.88.199.255,US
54.88.200.0,54.88.201.255,FR
54.88.202.0,54.88.209.255,US
54.88.210.0,54.88.211.255,FR
54.88.212.0,54.88.221.255,US
54.88.222.0,54.88.223.255,FR
54.88.224.0,54.89.32.255,US
54.89.33.0,54.89.33.255,FR
54.89.34.0,54.89.34.255,US
54.89.35.0,54.89.35.255,FR
54.89.36.0,54.89.148.255,US
54.89.149.0,54.89.149.255,FR
54.89.150.0,54.89.157.255,US
54.89.158.0,54.89.158.255,FR
54.89.159.0,54.91.255.255,US
54.92.0.0,54.92.127.255,JP
54.92.128.0,54.92.133.255,US
